170111,50000
170112,0.00
170113,0.00
170114,0.00
170115,0.00
170116,0.00
170117,0.00
170118,0.00
170119,0.00
170120,0.00
170121,0.00
170122,0.00
170123,0.00
170124,0.00
170125,0.00
170126,0.00
170127,0.00
170128,0.00
170129,0.00
170130,0.00
170131,0.00
170132,0.00
170133,0.00
170134,0.00
170135,0.00
170136,0.00
170137,0.00
170138,0.00
170139,0.00
170140,0.00
170141,0.00
170142,0.00
170143,0.00
170144,0.00
170145,0.00
170146,0.00
170147,0.00
170148,0.00
170149,0.00
170150,0.00
170151,0.00
170152,0.00
170153,0.00
170154,0.00
170155,0.00
170156,0.00
170157,0.00
170158,0.00
170159,0.00
170160,0.00
170161,0.00
170162,0.00
170163,0.00
170164,0.00
170165,0.00
170166,0.00
170167,0.00
170168,0.00
170169,0.00
170170,0.00
170171,0.00
170172,0.00
170173,0.00
170174,0.00
170175,0.00
170176,0.00
170177,0.00
170178,0.00
170179,0.00
170180,0.00
170181,0.00
170182,0.00
170183,0.00
170184,0.00
170185,0.00
170186,0.00
170187,0.00
170188,0.00
170189,0.00
170190,0.00
170191,0.00
170192,0.00
170193,0.00
170194,0.00
170195,0.00
170196,0.00
170197,0.00
170198,0.00
170199,0.00
170200,0.00
170201,0.00
170202,0.00
170203,0.00
170204,0.00
170205,0.00
170206,0.00
170207,0.00
170208,0.00
170209,0.00
170210,0.00
